Total_Registered,Democratic,Republican,American_Independent,Americans_Elect,Green,Libertarian,Peace_and_Freedom,Other,No_Party_Preference,county,district,district_type,date
148379.0,63759.0,35254.0,3844.0,9.0,648.0,852.0,292.0,9830,33891.0,Alameda,County Supervisorial  1,County Supervisorial,2014-04-04
138726.0,76558.0,19114.0,2934.0,13.0,711.0,611.0,503.0,8204,30078.0,Alameda,County Supervisorial  2,County Supervisorial,2014-04-04
149911.0,87560.0,16773.0,3023.0,22.0,1729.0,713.0,635.0,8664,30792.0,Alameda,County Supervisorial  3,County Supervisorial,2014-04-04
169758.0,97219.0,28039.0,3434.0,20.0,1462.0,837.0,516.0,8582,29649.0,Alameda,County Supervisorial  4,County Supervisorial,2014-04-04
193677.0,123638.0,10635.0,2962.0,22.0,5210.0,964.0,937.0,14753,34556.0,Alameda,County Supervisorial  5,County Supervisorial,2014-04-04
401970.0,254717.0,29859.0,6799.0,56.0,7737.0,1832.0,1827.0,25962,73181.0,Alameda,US Congressional 13,US Congressional,2014-04-04
316234.0,155518.0,65785.0,7668.0,25.0,1653.0,1768.0,877.0,18457,64483.0,Alameda,US Congressional 15,US Congressional,2014-04-04
82247.0,38499.0,14171.0,1730.0,5.0,370.0,377.0,179.0,5614,21302.0,Alameda,US Congressional 17,US Congressional,2014-04-04
114741.0,45009.0,35328.0,3295.0,7.0,454.0,779.0,188.0,6985,22696.0,Alameda,State Senate  7,State Senate,2014-04-04
398121.0,252443.0,29411.0,6721.0,55.0,7714.0,1815.0,1807.0,25747,72408.0,Alameda,State Senate  9,State Senate,2014-04-04
287589.0,151282.0,45076.0,6181.0,24.0,1592.0,1383.0,888.0,17301,63862.0,Alameda,State Senate 10,State Senate,2014-04-04
160068.0,102548.0,9686.0,2327.0,12.0,4387.0,821.0,675.0,11585,28027.0,Alameda,State Assembly 15,State Assembly,2014-04-04
113286.0,44529.0,34755.0,3256.0,7.0,441.0,775.0,187.0,6922,22414.0,Alameda,State Assembly 16,State Assembly,2014-04-04
241285.0,151806.0,20122.0,4456.0,44.0,3346.0,1007.0,1148.0,14331,45025.0,Alameda,State Assembly 18,State Assembly,2014-04-04
217703.0,117757.0,33972.0,4727.0,19.0,1283.0,1059.0,722.0,12551,45613.0,Alameda,State Assembly 20,State Assembly,2014-04-04
68109.0,32094.0,11280.0,1431.0,4.0,303.0,315.0,151.0,4644,17887.0,Alameda,State Assembly 25,State Assembly,2014-04-04
800451.0,448734.0,109815.0,16197.0,86.0,9760.0,3977.0,2883.0,50033,158966.0,Alameda,State Board of Equalization 2,State Board of Equalization,2014-04-04
43831.0,24104.0,6151.0,977.0,2.0,571.0,254.0,136.0,2440,9196.0,Alameda,Alameda,City,2014-04-04
10471.0,6692.0,649.0,138.0,0.0,290.0,47.0,33.0,615,2007.0,Alameda,Albany,City,2014-04-04
77900.0,50173.0,3280.0,1073.0,5.0,2413.0,415.0,394.0,6582,13565.0,Alameda,Berkeley,City,2014-04-04
22919.0,9748.0,5486.0,653.0,2.0,83.0,161.0,46.0,1727,5013.0,Alameda,Dublin,City,2014-04-04
5615.0,3356.0,401.0,109.0,0.0,102.0,43.0,14.0,491,1099.0,Alameda,Emeryville,City,2014-04-04
98231.0,45422.0,16867.0,2059.0,6.0,458.0,457.0,211.0,6992,25759.0,Alameda,Fremont,City,2014-04-04
62472.0,37010.0,7671.0,1367.0,6.0,358.0,285.0,286.0,3626,11863.0,Alameda,Hayward,City,2014-04-04
47944.0,18742.0,15724.0,1540.0,3.0,205.0,334.0,86.0,2559,8751.0,Alameda,Livermore,City,2014-04-04
20194.0,10790.0,3340.0,482.0,2.0,90.0,102.0,59.0,1034,4295.0,Alameda,Newark,City,2014-04-04
212929.0,140817.0,12130.0,3416.0,46.0,4028.0,869.0,1088.0,13354,37181.0,Alameda,Oakland,City,2014-04-04
8233.0,4610.0,1558.0,149.0,0.0,65.0,28.0,9.0,300,1514.0,Alameda,Piedmont,City,2014-04-04
40872.0,15569.0,12805.0,1012.0,2.0,144.0,266.0,54.0,2585,8435.0,Alameda,Pleasanton,City,2014-04-04
42352.0,24594.0,5633.0,919.0,3.0,263.0,172.0,149.0,2134,8485.0,Alameda,San Leandro,City,2014-04-04
32998.0,17832.0,4285.0,604.0,3.0,145.0,105.0,105.0,2008,7911.0,Alameda,Union City,City,2014-04-04
73490.0,39275.0,13835.0,1699.0,6.0,545.0,439.0,213.0,3586,13892.0,Alameda,Unincorporated Area,City,2014-04-04
135.0,55.0,45.0,8.0,0.0,2.0,0.0,0.0,0,25.0,Alpine,County Supervisorial  1,County Supervisorial,2014-04-04
146.0,60.0,44.0,3.0,0.0,3.0,0.0,0.0,0,36.0,Alpine,County Supervisorial  2,County Supervisorial,2014-04-04
114.0,50.0,16.0,10.0,0.0,1.0,2.0,1.0,0,34.0,Alpine,County Supervisorial  3,County Supervisorial,2014-04-04
201.0,71.0,55.0,3.0,0.0,2.0,4.0,0.0,2,64.0,Alpine,County Supervisorial  4,County Supervisorial,2014-04-04
168.0,45.0,70.0,7.0,0.0,3.0,0.0,0.0,0,43.0,Alpine,County Supervisorial  5,County Supervisorial,2014-04-04
764.0,281.0,230.0,31.0,0.0,11.0,6.0,1.0,2,202.0,Alpine,US Congressional  4,US Congressional,2014-04-04
764.0,281.0,230.0,31.0,0.0,11.0,6.0,1.0,2,202.0,Alpine,State Senate  1,State Senate,2014-04-04
764.0,281.0,230.0,31.0,0.0,11.0,6.0,1.0,2,202.0,Alpine,State Assembly  5,State Assembly,2014-04-04
764.0,281.0,230.0,31.0,0.0,11.0,6.0,1.0,2,202.0,Alpine,State Board of Equalization 1,State Board of Equalization,2014-04-04
764.0,281.0,230.0,31.0,0.0,11.0,6.0,1.0,2,202.0,Alpine,Unincorporated Area,City,2014-04-04
4006.0,1271.0,1712.0,185.0,1.0,15.0,45.0,9.0,11,757.0,Amador,County Supervisorial  1,County Supervisorial,2014-04-04
4627.0,1269.0,2255.0,218.0,0.0,16.0,44.0,17.0,13,795.0,Amador,County Supervisorial  2,County Supervisorial,2014-04-04
3872.0,1300.0,1631.0,170.0,0.0,31.0,32.0,10.0,17,681.0,Amador,County Supervisorial  3,County Supervisorial,2014-04-04
4211.0,1343.0,1897.0,181.0,0.0,20.0,45.0,5.0,6,714.0,Amador,County Supervisorial  4,County Supervisorial,2014-04-04
4358.0,1403.0,1901.0,168.0,0.0,32.0,52.0,9.0,14,779.0,Amador,County Supervisorial  5,County Supervisorial,2014-04-04
21074.0,6586.0,9396.0,922.0,1.0,114.0,218.0,50.0,61,3726.0,Amador,US Congressional  4,US Congressional,2014-04-04
21074.0,6586.0,9396.0,922.0,1.0,114.0,218.0,50.0,61,3726.0,Amador,State Senate  8,State Senate,2014-04-04
21074.0,6586.0,9396.0,922.0,1.0,114.0,218.0,50.0,61,3726.0,Amador,State Assembly  5,State Assembly,2014-04-04
21074.0,6586.0,9396.0,922.0,1.0,114.0,218.0,50.0,61,3726.0,Amador,State Board of Equalization 1,State Board of Equalization,2014-04-04
138.0,47.0,56.0,8.0,0.0,0.0,2.0,0.0,1,24.0,Amador,Amador,City,2014-04-04
2284.0,621.0,1122.0,112.0,0.0,8.0,23.0,7.0,2,389.0,Amador,Ione,City,2014-04-04
2530.0,823.0,1029.0,129.0,1.0,12.0,35.0,4.0,9,488.0,Amador,Jackson,City,2014-04-04
500.0,156.0,188.0,25.0,0.0,2.0,10.0,2.0,0,117.0,Amador,Plymouth,City,2014-04-04
1664.0,570.0,702.0,77.0,0.0,10.0,18.0,2.0,1,284.0,Amador,Sutter Creek,City,2014-04-04
13958.0,4369.0,6299.0,571.0,0.0,82.0,130.0,35.0,48,2424.0,Amador,Unincorporated Area,City,2014-04-04
22036.0,6560.0,8380.0,912.0,5.0,161.0,201.0,116.0,362,5339.0,Butte,County Supervisorial  1,County Supervisorial,2014-04-04
23749.0,8616.0,7688.0,683.0,2.0,359.0,244.0,102.0,275,5780.0,Butte,County Supervisorial  2,County Supervisorial,2014-04-04
24440.0,9176.0,8181.0,689.0,2.0,379.0,272.0,85.0,308,5348.0,Butte,County Supervisorial  3,County Supervisorial,2014-04-04
21147.0,6893.0,7902.0,708.0,2.0,246.0,208.0,76.0,271,4841.0,Butte,County Supervisorial  4,County Supervisorial,2014-04-04
27086.0,8285.0,10869.0,1109.0,2.0,282.0,270.0,114.0,456,5699.0,Butte,County Supervisorial  5,County Supervisorial,2014-04-04
118458.0,39530.0,43020.0,4101.0,13.0,1427.0,1195.0,493.0,1672,27007.0,Butte,US Congressional  1,US Congressional,2014-04-04
118458.0,39530.0,43020.0,4101.0,13.0,1427.0,1195.0,493.0,1672,27007.0,Butte,State Senate  4,State Senate,2014-04-04
11936.0,3600.0,4544.0,510.0,0.0,151.0,125.0,67.0,167,2772.0,Butte,State Assembly  1,State Assembly,2014-04-04
106522.0,35930.0,38476.0,3591.0,13.0,1276.0,1070.0,426.0,1505,24235.0,Butte,State Assembly  3,State Assembly,2014-04-04
118458.0,39530.0,43020.0,4101.0,13.0,1427.0,1195.0,493.0,1672,27007.0,Butte,State Board of Equalization 1,State Board of Equalization,2014-04-04
722.0,257.0,272.0,26.0,0.0,7.0,4.0,4.0,7,145.0,Butte,Biggs,City,2014-04-04
44837.0,17333.0,13348.0,1310.0,5.0,707.0,502.0,167.0,551,10914.0,Butte,Chico,City,2014-04-04
2571.0,954.0,881.0,89.0,0.0,18.0,19.0,12.0,32,566.0,Butte,Gridley,City,2014-04-04
6317.0,1997.0,2202.0,250.0,3.0,45.0,69.0,37.0,99,1615.0,Butte,Oroville,City,2014-04-04
16102.0,4904.0,6446.0,638.0,2.0,167.0,160.0,72.0,301,3412.0,Butte,Paradise,City,2014-04-04
47909.0,14085.0,19871.0,1788.0,3.0,483.0,441.0,201.0,682,10355.0,Butte,Unincorporated Area,City,2014-04-04
5178.0,1467.0,2382.0,238.0,2.0,20.0,47.0,11.0,37,974.0,Calaveras,County Supervisorial  1,County Supervisorial,2014-04-04
5168.0,1775.0,1871.0,265.0,0.0,86.0,70.0,24.0,43,1034.0,Calaveras,County Supervisorial  2,County Supervisorial,2014-04-04
5826.0,1994.0,2309.0,238.0,0.0,79.0,73.0,18.0,46,1069.0,Calaveras,County Supervisorial  3,County Supervisorial,2014-04-04
5855.0,1688.0,2531.0,272.0,2.0,39.0,103.0,24.0,51,1145.0,Calaveras,County Supervisorial  4,County Supervisorial,2014-04-04
5038.0,1373.0,2302.0,241.0,0.0,21.0,54.0,15.0,43,989.0,Calaveras,County Supervisorial  5,County Supervisorial,2014-04-04
27065.0,8297.0,11395.0,1254.0,4.0,245.0,347.0,92.0,220,5211.0,Calaveras,US Congressional  4,US Congressional,2014-04-04
27065.0,8297.0,11395.0,1254.0,4.0,245.0,347.0,92.0,220,5211.0,Calaveras,State Senate  8,State Senate,2014-04-04
27065.0,8297.0,11395.0,1254.0,4.0,245.0,347.0,92.0,220,5211.0,Calaveras,State Assembly  5,State Assembly,2014-04-04
27065.0,8297.0,11395.0,1254.0,4.0,245.0,347.0,92.0,220,5211.0,Calaveras,State Board of Equalization 1,State Board of Equalization,2014-04-04
2206.0,683.0,936.0,83.0,0.0,15.0,51.0,8.0,17,413.0,Calaveras,Angels,City,2014-04-04
24859.0,7614.0,10459.0,1171.0,4.0,230.0,296.0,84.0,203,4798.0,Calaveras,Unincorporated Area,City,2014-04-04
1604.0,558.0,689.0,43.0,0.0,4.0,6.0,2.0,0,302.0,Colusa,County Supervisorial  1,County Supervisorial,2014-04-04
1677.0,579.0,737.0,48.0,0.0,1.0,5.0,3.0,0,304.0,Colusa,County Supervisorial  2,County Supervisorial,2014-04-04
1192.0,437.0,477.0,17.0,0.0,5.0,7.0,3.0,1,245.0,Colusa,County Supervisorial  3,County Supervisorial,2014-04-04
1308.0,447.0,575.0,33.0,0.0,3.0,5.0,0.0,1,244.0,Colusa,County Supervisorial  4,County Supervisorial,2014-04-04
1833.0,558.0,902.0,55.0,0.0,4.0,10.0,6.0,0,298.0,Colusa,County Supervisorial  5,County Supervisorial,2014-04-04
7614.0,2579.0,3380.0,196.0,0.0,17.0,33.0,14.0,2,1393.0,Colusa,US Congressional  3,US Congressional,2014-04-04
7614.0,2579.0,3380.0,196.0,0.0,17.0,33.0,14.0,2,1393.0,Colusa,State Senate  4,State Senate,2014-04-04
4276.0,1358.0,2035.0,127.0,0.0,7.0,18.0,9.0,1,721.0,Colusa,State Assembly  3,State Assembly,2014-04-04
3338.0,1221.0,1345.0,69.0,0.0,10.0,15.0,5.0,1,672.0,Colusa,State Assembly  4,State Assembly,2014-04-04
7614.0,2579.0,3380.0,196.0,0.0,17.0,33.0,14.0,2,1393.0,Colusa,State Board of Equalization 2,State Board of Equalization,2014-04-04
2277.0,791.0,986.0,68.0,0.0,2.0,9.0,7.0,0,414.0,Colusa,Colusa,City,2014-04-04
1131.0,494.0,331.0,14.0,0.0,3.0,6.0,3.0,1,279.0,Colusa,Williams,City,2014-04-04
4206.0,1294.0,2063.0,114.0,0.0,12.0,18.0,4.0,1,700.0,Colusa,Unincorporated Area,City,2014-04-04
86858.0,56851.0,8027.0,1523.0,10.0,1079.0,353.0,343.0,247,18425.0,Contra Costa,County Supervisorial  1,County Supervisorial,2014-04-04
132391.0,52727.0,44335.0,3267.0,2.0,542.0,780.0,109.0,336,30293.0,Contra Costa,County Supervisorial  2,County Supervisorial,2014-04-04
99067.0,46604.0,27833.0,3070.0,6.0,279.0,553.0,180.0,226,20316.0,Contra Costa,County Supervisorial  3,County Supervisorial,2014-04-04
114598.0,52416.0,30690.0,3319.0,4.0,765.0,759.0,236.0,347,26062.0,Contra Costa,County Supervisorial  4,County Supervisorial,2014-04-04
92404.0,50973.0,16533.0,2498.0,6.0,585.0,557.0,286.0,294,20672.0,Contra Costa,County Supervisorial  5,County Supervisorial,2014-04-04
46500.0,25954.0,7840.0,1213.0,4.0,365.0,270.0,139.0,150,10565.0,Contra Costa,US Congressional  5,US Congressional,2014-04-04
