Total_Registered,Democratic,Republican,American_Independent,Green,Libertarian,Peace_and_Freedom,Other,No_Party_Preference,county,district,district_type,date
161055.0,70265.0,35459.0,3943.0,525.0,1073.0,289.0,1210.0,48291.0,Alameda,County Supervisorial 1,County Supervisorial,2016-10-24
152711.0,84727.0,18846.0,3117.0,606.0,762.0,513.0,1051.0,43089.0,Alameda,County Supervisorial 2,County Supervisorial,2016-10-24
169614.0,101295.0,16246.0,3172.0,1378.0,832.0,619.0,1230.0,44842.0,Alameda,County Supervisorial 3,County Supervisorial,2016-10-24
186467.0,107034.0,27354.0,3570.0,1199.0,991.0,526.0,1366.0,44427.0,Alameda,County Supervisorial 4,County Supervisorial,2016-10-24
218817.0,147108.0,9577.0,3062.0,3551.0,994.0,689.0,1575.0,52261.0,Alameda,County Supervisorial 5,County Supervisorial,2016-10-24
454843.0,296850.0,27893.0,7099.0,5545.0,2035.0,1559.0,3289.0,110573.0,Alameda,US Congressional 13,US Congressional,2016-10-24
345852.0,171595.0,66121.0,8066.0,1413.0,2192.0,888.0,2497.0,93080.0,Alameda,US Congressional 15,US Congressional,2016-10-24
87969.0,41984.0,13468.0,1699.0,301.0,425.0,189.0,646.0,29257.0,Alameda,US Congressional 17,US Congressional,2016-10-24
126088.0,50330.0,36246.0,3499.0,396.0,1015.0,180.0,958.0,33464.0,Alameda,State Senate 7,State Senate,2016-10-24
450638.0,294436.0,27424.0,7022.0,5524.0,2022.0,1540.0,3263.0,109407.0,Alameda,State Senate 9,State Senate,2016-10-24
311938.0,165663.0,43812.0,6343.0,1339.0,1615.0,916.0,2211.0,90039.0,Alameda,State Senate 10,State Senate,2016-10-24
176010.0,119219.0,8735.0,2307.0,2882.0,830.0,457.0,1152.0,40428.0,Alameda,State Assembly 15,State Assembly,2016-10-24
124587.0,49834.0,35673.0,3446.0,384.0,1009.0,179.0,943.0,33119.0,Alameda,State Assembly 16,State Assembly,2016-10-24
278160.0,177239.0,19104.0,4778.0,2655.0,1203.0,1099.0,2136.0,69946.0,Alameda,State Assembly 18,State Assembly,2016-10-24
236814.0,129120.0,33128.0,4930.0,1094.0,1264.0,747.0,1676.0,64855.0,Alameda,State Assembly 20,State Assembly,2016-10-24
73093.0,35017.0,10842.0,1403.0,244.0,346.0,154.0,525.0,24562.0,Alameda,State Assembly 25,State Assembly,2016-10-24
888664.0,510429.0,107482.0,16864.0,7259.0,4652.0,2636.0,6432.0,232910.0,Alameda,State Board of Equalization 2,State Board of Equalization,2016-10-24
48845.0,28062.0,6055.0,975.0,426.0,321.0,115.0,328.0,12563.0,Alameda,Alameda,City,2016-10-24
11462.0,7660.0,636.0,133.0,193.0,44.0,15.0,64.0,2717.0,Alameda,Albany,City,2016-10-24
83768.0,57618.0,2800.0,999.0,1571.0,391.0,260.0,526.0,19603.0,Alameda,Berkeley,City,2016-10-24
26975.0,11770.0,5622.0,689.0,74.0,215.0,39.0,212.0,8354.0,Alameda,Dublin,City,2016-10-24
7019.0,4422.0,422.0,137.0,76.0,52.0,11.0,58.0,1841.0,Alameda,Emeryville,City,2016-10-24
104126.0,49078.0,15940.0,2037.0,355.0,511.0,216.0,754.0,35235.0,Alameda,Fremont,City,2016-10-24
70320.0,41494.0,7630.0,1464.0,297.0,367.0,292.0,483.0,18293.0,Alameda,Hayward,City,2016-10-24
51852.0,20339.0,16491.0,1633.0,173.0,459.0,87.0,391.0,12279.0,Alameda,Livermore,City,2016-10-24
21841.0,11803.0,3267.0,488.0,84.0,123.0,58.0,145.0,5873.0,Alameda,Newark,City,2016-10-24
248124.0,166581.0,11129.0,3744.0,2998.0,1007.0,1002.0,1935.0,59728.0,Alameda,Oakland,City,2016-10-24
8634.0,5085.0,1381.0,140.0,45.0,32.0,8.0,51.0,1892.0,Alameda,Piedmont,City,2016-10-24
44098.0,17237.0,12748.0,1069.0,128.0,315.0,52.0,330.0,12219.0,Alameda,Pleasanton,City,2016-10-24
46299.0,27021.0,5411.0,955.0,228.0,186.0,145.0,326.0,12027.0,Alameda,San Leandro,City,2016-10-24
36151.0,19696.0,4279.0,665.0,130.0,136.0,108.0,256.0,10881.0,Alameda,Union City,City,2016-10-24
79150.0,42563.0,13671.0,1736.0,481.0,493.0,228.0,573.0,19405.0,Alameda,Unincorporated Area,City,2016-10-24
137.0,50.0,52.0,7.0,3.0,0.0,0.0,0.0,25.0,Alpine,County Supervisorial 1,County Supervisorial,2016-10-24
156.0,66.0,43.0,3.0,1.0,0.0,0.0,2.0,41.0,Alpine,County Supervisorial 2,County Supervisorial,2016-10-24
100.0,47.0,15.0,6.0,0.0,2.0,1.0,1.0,28.0,Alpine,County Supervisorial 3,County Supervisorial,2016-10-24
154.0,63.0,47.0,2.0,2.0,2.0,1.0,0.0,37.0,Alpine,County Supervisorial 4,County Supervisorial,2016-10-24
175.0,50.0,66.0,7.0,2.0,1.0,0.0,0.0,49.0,Alpine,County Supervisorial 5,County Supervisorial,2016-10-24
722.0,276.0,223.0,25.0,8.0,5.0,2.0,3.0,180.0,Alpine,US Congressional 4,US Congressional,2016-10-24
722.0,276.0,223.0,25.0,8.0,5.0,2.0,3.0,180.0,Alpine,State Senate 1,State Senate,2016-10-24
722.0,276.0,223.0,25.0,8.0,5.0,2.0,3.0,180.0,Alpine,State Assembly 5,State Assembly,2016-10-24
722.0,276.0,223.0,25.0,8.0,5.0,2.0,3.0,180.0,Alpine,State Board of Equalization 1,State Board of Equalization,2016-10-24
