Total_Registered,Democratic,Republican,American_Independent,Green,Libertarian,Peace_and_Freedom,Unknown,Other,No_Party_Preference,county,district,district_type,date
156337.0,67931.0,33292.0,3923.0,503.0,1044.0,304.0,109.0,1202.0,48029.0,Alameda,County Supervisorial 1,County Supervisorial,2018-01-02
145997.0,80523.0,17638.0,2997.0,589.0,692.0,494.0,117.0,1022.0,41925.0,Alameda,County Supervisorial 2,County Supervisorial,2018-01-02
161540.0,96151.0,15065.0,3094.0,1288.0,799.0,601.0,145.0,1227.0,43170.0,Alameda,County Supervisorial 3,County Supervisorial,2018-01-02
180031.0,103236.0,25693.0,3619.0,1181.0,994.0,511.0,123.0,1320.0,43354.0,Alameda,County Supervisorial 4,County Supervisorial,2018-01-02
205881.0,138672.0,8683.0,3023.0,3342.0,973.0,664.0,150.0,1506.0,48868.0,Alameda,County Supervisorial 5,County Supervisorial,2018-01-02
431065.0,281352.0,25571.0,7036.0,5260.0,1979.0,1511.0,345.0,3192.0,104819.0,Alameda,US Congressional 13,US Congressional,2018-01-02
333696.0,164835.0,62281.0,7938.0,1354.0,2115.0,873.0,229.0,2445.0,91626.0,Alameda,US Congressional 15,US Congressional,2018-01-02
85025.0,40326.0,12519.0,1682.0,289.0,408.0,190.0,70.0,640.0,28901.0,Alameda,US Congressional 17,US Congressional,2018-01-02
123054.0,49171.0,34269.0,3498.0,388.0,1004.0,188.0,77.0,947.0,33512.0,Alameda,State Senate 7,State Senate,2018-01-02
427104.0,279110.0,25142.0,6949.0,5235.0,1963.0,1494.0,343.0,3161.0,103707.0,Alameda,State Senate 9,State Senate,2018-01-02
299628.0,158232.0,40960.0,6209.0,1280.0,1535.0,892.0,224.0,2169.0,88127.0,Alameda,State Senate 10,State Senate,2018-01-02
166722.0,113232.0,7930.0,2323.0,2729.0,824.0,452.0,93.0,1116.0,38023.0,Alameda,State Assembly 15,State Assembly,2018-01-02
121573.0,48691.0,33724.0,3451.0,378.0,994.0,186.0,76.0,930.0,33143.0,Alameda,State Assembly 16,State Assembly,2018-01-02
263667.0,167736.0,17587.0,4698.0,2524.0,1150.0,1056.0,252.0,2073.0,66591.0,Alameda,State Assembly 18,State Assembly,2018-01-02
227019.0,123187.0,31030.0,4783.0,1034.0,1204.0,728.0,164.0,1631.0,63258.0,Alameda,State Assembly 20,State Assembly,2018-01-02
70805.0,33667.0,10100.0,1401.0,238.0,330.0,152.0,59.0,527.0,24331.0,Alameda,State Assembly 25,State Assembly,2018-01-02
