Total_Registered,Democratic,Republican,American_Independent,Green,Libertarian,Peace_and_Freedom,Other,No_Party_Preference,county,district,district_type,date
142997.0,60305.0,33720.0,3732.0,544.0,862.0,273.0,8034.0,35527.0,Alameda,County Supervisorial  1,County Supervisorial,2016-01-05
134359.0,73055.0,17830.0,2847.0,652.0,615.0,457.0,6894.0,32009.0,Alameda,County Supervisorial  2,County Supervisorial,2016-01-05
148307.0,85743.0,15498.0,3012.0,1701.0,745.0,618.0,7105.0,33885.0,Alameda,County Supervisorial  3,County Supervisorial,2016-01-05
167346.0,94293.0,26550.0,3385.0,1429.0,863.0,509.0,7339.0,32978.0,Alameda,County Supervisorial  4,County Supervisorial,2016-01-05
190555.0,121640.0,9495.0,3026.0,4812.0,957.0,874.0,10367.0,39384.0,Alameda,County Supervisorial  5,County Supervisorial,2016-01-05
397600.0,249990.0,27209.0,6896.0,7324.0,1867.0,1732.0,19652.0,82930.0,Alameda,US Congressional 13,US Congressional,2016-01-05
307885.0,148909.0,62973.0,7492.0,1505.0,1823.0,819.0,15486.0,68878.0,Alameda,US Congressional 15,US Congressional,2016-01-05
78079.0,36137.0,12911.0,1614.0,309.0,352.0,180.0,4601.0,21975.0,Alameda,US Congressional 17,US Congressional,2016-01-05
112693.0,43277.0,34613.0,3273.0,384.0,819.0,172.0,5737.0,24418.0,Alameda,State Senate  7,State Senate,2016-01-05
393915.0,247872.0,26786.0,6824.0,7304.0,1851.0,1718.0,19470.0,82090.0,Alameda,State Senate  9,State Senate,2016-01-05
276956.0,143887.0,41694.0,5905.0,1450.0,1372.0,841.0,14532.0,67275.0,Alameda,State Senate 10,State Senate,2016-01-05
155989.0,100255.0,8713.0,2344.0,4012.0,810.0,638.0,8080.0,31137.0,Alameda,State Assembly 15,State Assembly,2016-01-05
111260.0,42806.0,34070.0,3228.0,372.0,816.0,171.0,5681.0,24116.0,Alameda,State Assembly 16,State Assembly,2016-01-05
241023.0,149403.0,18452.0,4536.0,3307.0,1052.0,1090.0,11531.0,51652.0,Alameda,State Assembly 18,State Assembly,2016-01-05
210560.0,112433.0,31570.0,4550.0,1198.0,1072.0,685.0,10630.0,48422.0,Alameda,State Assembly 20,State Assembly,2016-01-05
64732.0,30139.0,10288.0,1344.0,249.0,292.0,147.0,3817.0,18456.0,Alameda,State Assembly 25,State Assembly,2016-01-05
783564.0,435036.0,103093.0,16002.0,9138.0,4042.0,2731.0,39739.0,173783.0,Alameda,State Board of Equalization 2,State Board of Equalization,2016-01-05
43073.0,23734.0,5705.0,972.0,546.0,281.0,136.0,1987.0,9712.0,Alameda,Alameda,City,2016-01-05
10197.0,6533.0,608.0,149.0,257.0,48.0,25.0,444.0,2133.0,Alameda,Albany,City,2016-01-05
74604.0,48576.0,2813.0,1004.0,2160.0,402.0,366.0,4356.0,14927.0,Alameda,Berkeley,City,2016-01-05
22486.0,9383.0,5216.0,644.0,70.0,170.0,44.0,1385.0,5574.0,Alameda,Dublin,City,2016-01-05
5521.0,3356.0,352.0,117.0,98.0,36.0,14.0,320.0,1228.0,Alameda,Emeryville,City,2016-01-05
92970.0,42424.0,15336.0,1946.0,392.0,426.0,206.0,5708.0,26532.0,Alameda,Fremont,City,2016-01-05
60858.0,35414.0,7159.0,1319.0,329.0,288.0,250.0,3083.0,13016.0,Alameda,Hayward,City,2016-01-05
