Total_Registered,Democratic,Republican,American_Independent,Americans_Elect,Green,Libertarian,Peace_and_Freedom,Other,No_Party_Preference,county,district,district_type,date
150727.0,65184.0,36844.0,3691.0,6.0,688.0,744.0,286.0,8416.0,34868.0,Alameda,County Supervisorial  1,County Supervisorial,2012-10-22
137888.0,76623.0,19924.0,2816.0,2.0,685.0,563.0,483.0,6797.0,29995.0,Alameda,County Supervisorial  2,County Supervisorial,2012-10-22
150635.0,88728.0,17809.0,2945.0,12.0,1697.0,654.0,636.0,7392.0,30762.0,Alameda,County Supervisorial  3,County Supervisorial,2012-10-22
170689.0,97928.0,29842.0,3332.0,9.0,1476.0,758.0,514.0,7252.0,29578.0,Alameda,County Supervisorial  4,County Supervisorial,2012-10-22
200897.0,128796.0,11821.0,2873.0,15.0,5408.0,935.0,958.0,13800.0,36291.0,Alameda,County Supervisorial  5,County Supervisorial,2012-10-22
409206.0,260778.0,32432.0,6566.0,30.0,7907.0,1720.0,1856.0,23317.0,74600.0,Alameda,US Congressional 13,US Congressional,2012-10-22
317908.0,157200.0,68865.0,7418.0,12.0,1655.0,1583.0,835.0,15422.0,64918.0,Alameda,US Congressional 15,US Congressional,2012-10-22
83722.0,39281.0,14943.0,1673.0,2.0,392.0,351.0,186.0,4918.0,21976.0,Alameda,US Congressional 17,US Congressional,2012-10-22
117103.0,46326.0,36975.0,3178.0,5.0,479.0,685.0,183.0,5944.0,23328.0,Alameda,State Senate  7,State Senate,2012-10-22
405310.0,258423.0,31953.0,6496.0,30.0,7887.0,1704.0,1839.0,23144.0,73834.0,Alameda,State Senate  9,State Senate,2012-10-22
288423.0,152510.0,47312.0,5983.0,9.0,1588.0,1265.0,855.0,14569.0,64332.0,Alameda,State Senate 10,State Senate,2012-10-22
167298.0,107423.0,10756.0,2290.0,9.0,4588.0,818.0,693.0,10969.0,29752.0,Alameda,State Assembly 15,State Assembly,2012-10-22
115601.0,45840.0,36362.0,3144.0,5.0,466.0,680.0,182.0,5895.0,23027.0,Alameda,State Assembly 16,State Assembly,2012-10-22
241280.0,152974.0,21618.0,4261.0,21.0,3316.0,898.0,1159.0,12316.0,44717.0,Alameda,State Assembly 18,State Assembly,2012-10-22
217358.0,118291.0,35617.0,4582.0,7.0,1267.0,965.0,680.0,10420.0,45529.0,Alameda,State Assembly 20,State Assembly,2012-10-22
69299.0,32731.0,11887.0,1380.0,2.0,317.0,293.0,163.0,4057.0,18469.0,Alameda,State Assembly 25,State Assembly,2012-10-22
810836.0,457259.0,116240.0,15657.0,44.0,9954.0,3654.0,2877.0,43657.0,161494.0,Alameda,State Board of Equalization 2,State Board of Equalization,2012-10-22
44440.0,24490.0,6562.0,938.0,1.0,574.0,240.0,137.0,2108.0,9390.0,Alameda,Alameda,City,2012-10-22
10747.0,6890.0,715.0,129.0,1.0,307.0,44.0,32.0,567.0,2062.0,Alameda,Albany,City,2012-10-22
82194.0,53131.0,3665.0,1040.0,5.0,2525.0,425.0,404.0,6384.0,14615.0,Alameda,Berkeley,City,2012-10-22
