Total_Registered,Democratic,Republican,American_Independent,Green,Libertarian,Peace_and_Freedom,Other,No_Party_Preference,county,district,district_type,date
159538.0,69693.0,34971.0,3990.0,516.0,1093.0,307.0,1224.0,47744.0,Alameda,County Supervisorial 1,County Supervisorial,2017-02-10
150401.0,83730.0,18496.0,3132.0,623.0,741.0,506.0,1032.0,42141.0,Alameda,County Supervisorial 2,County Supervisorial,2017-02-10
165489.0,99143.0,15789.0,3168.0,1323.0,807.0,609.0,1222.0,43428.0,Alameda,County Supervisorial 3,County Supervisorial,2017-02-10
183347.0,105631.0,26818.0,3652.0,1186.0,1014.0,517.0,1327.0,43202.0,Alameda,County Supervisorial 4,County Supervisorial,2017-02-10
213197.0,144081.0,9183.0,3076.0,3466.0,986.0,665.0,1551.0,50189.0,Alameda,County Supervisorial 5,County Supervisorial,2017-02-10
443284.0,290767.0,26912.0,7163.0,5397.0,2003.0,1524.0,3229.0,106289.0,Alameda,US Congressional 13,US Congressional,2017-02-10
341777.0,169936.0,65128.0,8142.0,1410.0,2208.0,890.0,2473.0,91590.0,Alameda,US Congressional 15,US Congressional,2017-02-10
86911.0,41575.0,13217.0,1713.0,307.0,430.0,190.0,654.0,28825.0,Alameda,US Congressional 17,US Congressional,2017-02-10
125240.0,50069.0,35820.0,3555.0,389.0,1041.0,191.0,959.0,33216.0,Alameda,State Senate 7,State Senate,2017-02-10
439166.0,288400.0,26454.0,7077.0,5376.0,1988.0,1506.0,3199.0,105166.0,Alameda,State Senate 9,State Senate,2017-02-10
307566.0,163809.0,42983.0,6386.0,1349.0,1612.0,907.0,2198.0,88322.0,Alameda,State Senate 10,State Senate,2017-02-10
172516.0,117380.0,8422.0,2350.0,2812.0,827.0,444.0,1151.0,39130.0,Alameda,State Assembly 15,State Assembly,2017-02-10
123745.0,49572.0,35249.0,3501.0,379.0,1034.0,190.0,944.0,32876.0,Alameda,State Assembly 16,State Assembly,2017-02-10
270094.0,172994.0,18433.0,4799.0,2578.0,1173.0,1078.0,2076.0,66963.0,Alameda,State Assembly 18,State Assembly,2017-02-10
233345.0,127645.0,32499.0,4940.0,1095.0,1258.0,740.0,1647.0,63521.0,Alameda,State Assembly 20,State Assembly,2017-02-10
72272.0,34687.0,10654.0,1428.0,250.0,349.0,152.0,538.0,24214.0,Alameda,State Assembly 25,State Assembly,2017-02-10
871972.0,502278.0,105257.0,17018.0,7114.0,4641.0,2604.0,6356.0,226704.0,Alameda,State Board of Equalization 2,State Board of Equalization,2017-02-10
48074.0,27713.0,5907.0,974.0,407.0,313.0,115.0,315.0,12330.0,Alameda,Alameda,City,2017-02-10
11234.0,7542.0,611.0,132.0,188.0,39.0,14.0,66.0,2642.0,Alameda,Albany,City,2017-02-10
82301.0,56925.0,2708.0,1020.0,1540.0,388.0,252.0,519.0,18949.0,Alameda,Berkeley,City,2017-02-10
26916.0,11744.0,5575.0,690.0,72.0,218.0,45.0,216.0,8356.0,Alameda,Dublin,City,2017-02-10
6837.0,4323.0,394.0,136.0,72.0,50.0,15.0,65.0,1782.0,Alameda,Emeryville,City,2017-02-10
102772.0,48482.0,15654.0,2042.0,353.0,516.0,219.0,761.0,34745.0,Alameda,Fremont,City,2017-02-10
68880.0,40818.0,7450.0,1484.0,303.0,351.0,294.0,467.0,17713.0,Alameda,Hayward,City,2017-02-10
51443.0,20214.0,16303.0,1658.0,167.0,471.0,95.0,390.0,12145.0,Alameda,Livermore,City,2017-02-10
21594.0,11699.0,3218.0,482.0,90.0,124.0,56.0,148.0,5777.0,Alameda,Newark,City,2017-02-10
240323.0,162358.0,10609.0,3788.0,2918.0,993.0,980.0,1874.0,56803.0,Alameda,Oakland,City,2017-02-10
8567.0,5083.0,1351.0,137.0,41.0,35.0,7.0,52.0,1861.0,Alameda,Piedmont,City,2017-02-10
43736.0,17135.0,12570.0,1093.0,130.0,325.0,49.0,329.0,12105.0,Alameda,Pleasanton,City,2017-02-10
45257.0,26421.0,5271.0,961.0,224.0,182.0,139.0,336.0,11723.0,Alameda,San Leandro,City,2017-02-10
35857.0,19664.0,4200.0,677.0,137.0,129.0,102.0,255.0,10693.0,Alameda,Union City,City,2017-02-10
78181.0,42157.0,13436.0,1744.0,472.0,507.0,222.0,563.0,19080.0,Alameda,Unincorporated Area,City,2017-02-10
137.0,50.0,53.0,6.0,3.0,0.0,0.0,0.0,25.0,Alpine,County Supervisorial 1,County Supervisorial,2017-02-10
158.0,65.0,43.0,5.0,1.0,0.0,0.0,2.0,42.0,Alpine,County Supervisorial 2,County Supervisorial,2017-02-10
104.0,49.0,15.0,6.0,0.0,2.0,1.0,1.0,30.0,Alpine,County Supervisorial 3,County Supervisorial,2017-02-10
153.0,62.0,45.0,2.0,2.0,2.0,1.0,0.0,39.0,Alpine,County Supervisorial 4,County Supervisorial,2017-02-10
169.0,46.0,65.0,7.0,2.0,1.0,0.0,0.0,48.0,Alpine,County Supervisorial 5,County Supervisorial,2017-02-10
721.0,272.0,221.0,26.0,8.0,5.0,2.0,3.0,184.0,Alpine,US Congressional 4,US Congressional,2017-02-10
721.0,272.0,221.0,26.0,8.0,5.0,2.0,3.0,184.0,Alpine,State Senate 1,State Senate,2017-02-10
721.0,272.0,221.0,26.0,8.0,5.0,2.0,3.0,184.0,Alpine,State Assembly 5,State Assembly,2017-02-10
721.0,272.0,221.0,26.0,8.0,5.0,2.0,3.0,184.0,Alpine,State Board of Equalization 1,State Board of Equalization,2017-02-10
721.0,272.0,221.0,26.0,8.0,5.0,2.0,3.0,184.0,Alpine,Unincorporated Area,City,2017-02-10
4172.0,1336.0,1803.0,171.0,19.0,49.0,14.0,4.0,776.0,Amador,County Supervisorial 1,County Supervisorial,2017-02-10
5047.0,1294.0,2493.0,223.0,21.0,71.0,21.0,11.0,913.0,Amador,County Supervisorial 2,County Supervisorial,2017-02-10
4100.0,1283.0,1802.0,175.0,29.0,35.0,12.0,11.0,753.0,Amador,County Supervisorial 3,County Supervisorial,2017-02-10
4393.0,1343.0,2009.0,183.0,17.0,55.0,6.0,2.0,778.0,Amador,County Supervisorial 4,County Supervisorial,2017-02-10
4507.0,1401.0,2021.0,171.0,34.0,65.0,10.0,11.0,794.0,Amador,County Supervisorial 5,County Supervisorial,2017-02-10
22219.0,6657.0,10128.0,923.0,120.0,275.0,63.0,39.0,4014.0,Amador,US Congressional 4,US Congressional,2017-02-10
22219.0,6657.0,10128.0,923.0,120.0,275.0,63.0,39.0,4014.0,Amador,State Senate 8,State Senate,2017-02-10
22219.0,6657.0,10128.0,923.0,120.0,275.0,63.0,39.0,4014.0,Amador,State Assembly 5,State Assembly,2017-02-10
22219.0,6657.0,10128.0,923.0,120.0,275.0,63.0,39.0,4014.0,Amador,State Board of Equalization 1,State Board of Equalization,2017-02-10
138.0,56.0,43.0,7.0,0.0,2.0,0.0,0.0,30.0,Amador,Amador,City,2017-02-10
2495.0,644.0,1238.0,107.0,10.0,37.0,8.0,4.0,447.0,Amador,Ione,City,2017-02-10
2665.0,915.0,1051.0,124.0,15.0,32.0,8.0,4.0,516.0,Amador,Jackson,City,2017-02-10
518.0,157.0,223.0,20.0,5.0,8.0,5.0,1.0,99.0,Amador,Plymouth,City,2017-02-10
1720.0,579.0,737.0,74.0,8.0,27.0,3.0,0.0,292.0,Amador,Sutter Creek,City,2017-02-10
14683.0,4306.0,6836.0,591.0,82.0,169.0,39.0,30.0,2630.0,Amador,Unincorporated Area,City,2017-02-10
24029.0,6845.0,9322.0,1039.0,153.0,238.0,125.0,276.0,6031.0,Butte,County Supervisorial 1,County Supervisorial,2017-02-10
26013.0,10365.0,7886.0,783.0,266.0,300.0,85.0,217.0,6111.0,Butte,County Supervisorial 2,County Supervisorial,2017-02-10
27062.0,10933.0,8507.0,779.0,301.0,300.0,80.0,266.0,5896.0,Butte,County Supervisorial 3,County Supervisorial,2017-02-10
22947.0,7846.0,8394.0,800.0,184.0,240.0,87.0,207.0,5189.0,Butte,County Supervisorial 4,County Supervisorial,2017-02-10
28945.0,8937.0,11638.0,1183.0,228.0,308.0,116.0,401.0,6134.0,Butte,County Supervisorial 5,County Supervisorial,2017-02-10
