Total_Registered,Democratic,Republican,American_Independent,Americans_Elect,Green,Libertarian,Peace_and_Freedom,Other,No_Party_Preference,county,district,district_type,date
149002.0,63848.0,35266.0,3875.0,9.0,654.0,867.0,293.0,9714.0,34476.0,Alameda,County Supervisorial  1,County Supervisorial,2014-05-19
139249.0,76605.0,19153.0,2951.0,13.0,713.0,610.0,509.0,8168.0,30527.0,Alameda,County Supervisorial  2,County Supervisorial,2014-05-19
150607.0,87853.0,16738.0,3037.0,23.0,1756.0,728.0,646.0,8581.0,31245.0,Alameda,County Supervisorial  3,County Supervisorial,2014-05-19
170441.0,97402.0,28058.0,3473.0,21.0,1472.0,849.0,520.0,8540.0,30106.0,Alameda,County Supervisorial  4,County Supervisorial,2014-05-19
194429.0,123816.0,10609.0,3010.0,24.0,5244.0,974.0,949.0,14567.0,35236.0,Alameda,County Supervisorial  5,County Supervisorial,2014-05-19
403760.0,255323.0,29803.0,6872.0,59.0,7807.0,1863.0,1852.0,25693.0,74488.0,Alameda,US Congressional 13,US Congressional,2014-05-19
317510.0,155705.0,65853.0,7737.0,26.0,1656.0,1784.0,886.0,18335.0,65528.0,Alameda,US Congressional 15,US Congressional,2014-05-19
82458.0,38496.0,14168.0,1737.0,5.0,376.0,381.0,179.0,5542.0,21574.0,Alameda,US Congressional 17,US Congressional,2014-05-19
115296.0,45087.0,35373.0,3341.0,7.0,457.0,795.0,191.0,6934.0,23111.0,Alameda,State Senate  7,State Senate,2014-05-19
399890.0,253038.0,29353.0,6794.0,58.0,7783.0,1845.0,1833.0,25481.0,73705.0,Alameda,State Senate  9,State Senate,2014-05-19
288542.0,151399.0,45098.0,6211.0,25.0,1599.0,1388.0,893.0,17155.0,64774.0,Alameda,State Senate 10,State Senate,2014-05-19
160425.0,102586.0,9646.0,2347.0,13.0,4405.0,828.0,683.0,11444.0,28473.0,Alameda,State Assembly 15,State Assembly,2014-05-19
113839.0,44609.0,34798.0,3302.0,7.0,444.0,791.0,190.0,6872.0,22826.0,Alameda,State Assembly 16,State Assembly,2014-05-19
242718.0,152375.0,20107.0,4509.0,46.0,3398.0,1031.0,1165.0,14203.0,45884.0,Alameda,State Assembly 18,State Assembly,2014-05-19
218490.0,117888.0,33990.0,4752.0,20.0,1282.0,1060.0,728.0,12467.0,46303.0,Alameda,State Assembly 20,State Assembly,2014-05-19
68256.0,32066.0,11283.0,1436.0,4.0,310.0,318.0,151.0,4584.0,18104.0,Alameda,State Assembly 25,State Assembly,2014-05-19
803728.0,449524.0,109824.0,16346.0,90.0,9839.0,4028.0,2917.0,49570.0,161590.0,Alameda,State Board of Equalization 2,State Board of Equalization,2014-05-19
43988.0,24204.0,6129.0,988.0,3.0,574.0,258.0,136.0,2416.0,9280.0,Alameda,Alameda,City,2014-05-19
10467.0,6673.0,644.0,138.0,0.0,288.0,47.0,34.0,606.0,2037.0,Alameda,Albany,City,2014-05-19
78042.0,50227.0,3266.0,1081.0,4.0,2420.0,417.0,396.0,6505.0,13726.0,Alameda,Berkeley,City,2014-05-19
23069.0,9757.0,5503.0,662.0,2.0,84.0,167.0,45.0,1705.0,5144.0,Alameda,Dublin,City,2014-05-19
5620.0,3348.0,398.0,111.0,0.0,98.0,42.0,15.0,478.0,1130.0,Alameda,Emeryville,City,2014-05-19
98509.0,45427.0,16862.0,2060.0,6.0,462.0,455.0,212.0,6888.0,26137.0,Alameda,Fremont,City,2014-05-19
62668.0,37005.0,7691.0,1365.0,6.0,358.0,284.0,291.0,3618.0,12050.0,Alameda,Hayward,City,2014-05-19
48169.0,18800.0,15716.0,1559.0,3.0,205.0,341.0,89.0,2551.0,8905.0,Alameda,Livermore,City,2014-05-19
20213.0,10771.0,3341.0,486.0,2.0,91.0,105.0,59.0,1032.0,4326.0,Alameda,Newark,City,2014-05-19
214264.0,141252.0,12137.0,3468.0,47.0,4091.0,888.0,1103.0,13232.0,38046.0,Alameda,Oakland,City,2014-05-19
8264.0,4618.0,1552.0,150.0,2.0,66.0,29.0,10.0,298.0,1539.0,Alameda,Piedmont,City,2014-05-19
41046.0,15581.0,12839.0,1031.0,2.0,145.0,269.0,55.0,2566.0,8558.0,Alameda,Pleasanton,City,2014-05-19
42474.0,24631.0,5621.0,918.0,3.0,265.0,177.0,154.0,2112.0,8593.0,Alameda,San Leandro,City,2014-05-19
33274.0,17922.0,4310.0,622.0,3.0,146.0,106.0,104.0,2002.0,8059.0,Alameda,Union City,City,2014-05-19
73661.0,39308.0,13815.0,1707.0,7.0,546.0,443.0,214.0,3561.0,14060.0,Alameda,Unincorporated Area,City,2014-05-19
143.0,59.0,47.0,8.0,0.0,2.0,0.0,0.0,1.0,26.0,Alpine,County Supervisorial  1,County Supervisorial,2014-05-19
145.0,59.0,45.0,3.0,0.0,2.0,0.0,0.0,1.0,35.0,Alpine,County Supervisorial  2,County Supervisorial,2014-05-19
112.0,50.0,16.0,9.0,0.0,1.0,2.0,1.0,1.0,32.0,Alpine,County Supervisorial  3,County Supervisorial,2014-05-19
198.0,69.0,54.0,3.0,0.0,3.0,4.0,0.0,2.0,63.0,Alpine,County Supervisorial  4,County Supervisorial,2014-05-19
168.0,47.0,69.0,7.0,0.0,3.0,0.0,0.0,0.0,42.0,Alpine,County Supervisorial  5,County Supervisorial,2014-05-19
766.0,284.0,231.0,30.0,0.0,11.0,6.0,1.0,5.0,198.0,Alpine,US Congressional  4,US Congressional,2014-05-19
766.0,284.0,231.0,30.0,0.0,11.0,6.0,1.0,5.0,198.0,Alpine,State Senate  1,State Senate,2014-05-19
766.0,284.0,231.0,30.0,0.0,11.0,6.0,1.0,5.0,198.0,Alpine,State Assembly  5,State Assembly,2014-05-19
766.0,284.0,231.0,30.0,0.0,11.0,6.0,1.0,5.0,198.0,Alpine,State Board of Equalization 1,State Board of Equalization,2014-05-19
766.0,284.0,231.0,30.0,0.0,11.0,6.0,1.0,5.0,198.0,Alpine,Unincorporated Area,City,2014-05-19
4032.0,1272.0,1723.0,188.0,2.0,15.0,45.0,8.0,12.0,767.0,Amador,County Supervisorial  1,County Supervisorial,2014-05-19
4637.0,1263.0,2256.0,221.0,0.0,18.0,43.0,17.0,13.0,806.0,Amador,County Supervisorial  2,County Supervisorial,2014-05-19
3907.0,1308.0,1642.0,176.0,0.0,32.0,32.0,10.0,17.0,690.0,Amador,County Supervisorial  3,County Supervisorial,2014-05-19
4234.0,1344.0,1903.0,181.0,0.0,20.0,47.0,5.0,6.0,728.0,Amador,County Supervisorial  4,County Supervisorial,2014-05-19
4390.0,1421.0,1906.0,171.0,0.0,31.0,53.0,10.0,16.0,782.0,Amador,County Supervisorial  5,County Supervisorial,2014-05-19
21200.0,6608.0,9430.0,937.0,2.0,116.0,220.0,50.0,64.0,3773.0,Amador,US Congressional  4,US Congressional,2014-05-19
21200.0,6608.0,9430.0,937.0,2.0,116.0,220.0,50.0,64.0,3773.0,Amador,State Senate  8,State Senate,2014-05-19
21200.0,6608.0,9430.0,937.0,2.0,116.0,220.0,50.0,64.0,3773.0,Amador,State Assembly  5,State Assembly,2014-05-19
21200.0,6608.0,9430.0,937.0,2.0,116.0,220.0,50.0,64.0,3773.0,Amador,State Board of Equalization 1,State Board of Equalization,2014-05-19
134.0,45.0,55.0,8.0,0.0,0.0,2.0,0.0,1.0,23.0,Amador,Amador,City,2014-05-19
2290.0,619.0,1124.0,111.0,0.0,9.0,22.0,7.0,2.0,396.0,Amador,Ione,City,2014-05-19
2549.0,827.0,1034.0,132.0,2.0,12.0,35.0,3.0,10.0,494.0,Amador,Jackson,City,2014-05-19
501.0,155.0,191.0,24.0,0.0,1.0,10.0,2.0,0.0,118.0,Amador,Plymouth,City,2014-05-19
1678.0,577.0,703.0,76.0,0.0,10.0,18.0,2.0,1.0,291.0,Amador,Sutter Creek,City,2014-05-19
14048.0,4385.0,6323.0,586.0,0.0,84.0,133.0,36.0,50.0,2451.0,Amador,Unincorporated Area,City,2014-05-19
22046.0,6543.0,8363.0,917.0,6.0,159.0,207.0,119.0,365.0,5367.0,Butte,County Supervisorial  1,County Supervisorial,2014-05-19
23946.0,8637.0,7713.0,693.0,2.0,366.0,254.0,105.0,280.0,5896.0,Butte,County Supervisorial  2,County Supervisorial,2014-05-19
24667.0,9249.0,8192.0,701.0,2.0,392.0,275.0,88.0,312.0,5456.0,Butte,County Supervisorial  3,County Supervisorial,2014-05-19
21247.0,6914.0,7903.0,718.0,2.0,251.0,219.0,77.0,275.0,4888.0,Butte,County Supervisorial  4,County Supervisorial,2014-05-19
27175.0,8278.0,10859.0,1117.0,2.0,283.0,279.0,116.0,455.0,5786.0,Butte,County Supervisorial  5,County Supervisorial,2014-05-19
119081.0,39621.0,43030.0,4146.0,14.0,1451.0,1234.0,505.0,1687.0,27393.0,Butte,US Congressional  1,US Congressional,2014-05-19
119081.0,39621.0,43030.0,4146.0,14.0,1451.0,1234.0,505.0,1687.0,27393.0,Butte,State Senate  4,State Senate,2014-05-19
11908.0,3594.0,4510.0,514.0,0.0,151.0,128.0,65.0,169.0,2777.0,Butte,State Assembly  1,State Assembly,2014-05-19
107173.0,36027.0,38520.0,3632.0,14.0,1300.0,1106.0,440.0,1518.0,24616.0,Butte,State Assembly  3,State Assembly,2014-05-19
119081.0,39621.0,43030.0,4146.0,14.0,1451.0,1234.0,505.0,1687.0,27393.0,Butte,State Board of Equalization 1,State Board of Equalization,2014-05-19
719.0,259.0,272.0,26.0,0.0,7.0,4.0,4.0,6.0,141.0,Butte,Biggs,City,2014-05-19
45343.0,17455.0,13404.0,1331.0,5.0,733.0,517.0,177.0,561.0,11160.0,Butte,Chico,City,2014-05-19
2588.0,949.0,887.0,89.0,0.0,18.0,19.0,12.0,34.0,580.0,Butte,Gridley,City,2014-05-19
6356.0,1999.0,2208.0,251.0,4.0,44.0,72.0,41.0,97.0,1640.0,Butte,Oroville,City,2014-05-19
16194.0,4907.0,6470.0,645.0,2.0,167.0,165.0,74.0,301.0,3463.0,Butte,Paradise,City,2014-05-19
