Total_Registered,Democratic,Republican,American_Independent,Americans_Elect,Green,Libertarian,Peace_and_Freedom,Other,No_Party_Preference,county,district,district_type,date
142319.0,61128.0,35775.0,3400.0,2.0,649.0,664.0,266.0,5491.0,34944.0,Alameda,County Supervisorial  1,County Supervisorial,2012-09-07
129906.0,71472.0,19475.0,2646.0,0.0,663.0,496.0,457.0,4555.0,30142.0,Alameda,County Supervisorial  2,County Supervisorial,2012-09-07
140874.0,82248.0,17443.0,2770.0,2.0,1587.0,565.0,585.0,4947.0,30727.0,Alameda,County Supervisorial  3,County Supervisorial,2012-09-07
161030.0,91720.0,29169.0,3117.0,4.0,1399.0,672.0,466.0,4950.0,29533.0,Alameda,County Supervisorial  4,County Supervisorial,2012-09-07
182006.0,117213.0,11476.0,2525.0,2.0,5066.0,777.0,875.0,8009.0,36063.0,Alameda,County Supervisorial  5,County Supervisorial,2012-09-07
376438.0,239511.0,31731.0,6023.0,5.0,7404.0,1463.0,1694.0,14360.0,74247.0,Alameda,US Congressional 13,US Congressional,2012-09-07
300489.0,147439.0,66971.0,6877.0,4.0,1592.0,1396.0,781.0,10400.0,65029.0,Alameda,US Congressional 15,US Congressional,2012-09-07
79208.0,36831.0,14636.0,1558.0,1.0,368.0,315.0,174.0,3192.0,22133.0,Alameda,US Congressional 17,US Congressional,2012-09-07
110871.0,43661.0,35797.0,2900.0,3.0,456.0,593.0,166.0,4054.0,23241.0,Alameda,State Senate  7,State Senate,2012-09-07
372796.0,237342.0,31260.0,5958.0,5.0,7385.0,1451.0,1680.0,14233.0,73482.0,Alameda,State Senate  9,State Senate,2012-09-07
272468.0,142778.0,46281.0,5600.0,2.0,1523.0,1130.0,803.0,9665.0,64686.0,Alameda,State Senate 10,State Senate,2012-09-07
152689.0,98626.0,10430.0,2013.0,2.0,4344.0,685.0,643.0,6316.0,29630.0,Alameda,State Assembly 15,State Assembly,2012-09-07
109422.0,43198.0,35202.0,2871.0,3.0,442.0,589.0,165.0,4011.0,22941.0,Alameda,State Assembly 16,State Assembly,2012-09-07
223157.0,140533.0,21242.0,3996.0,3.0,3057.0,775.0,1047.0,8023.0,44481.0,Alameda,State Assembly 18,State Assembly,2012-09-07
205305.0,110720.0,34829.0,4285.0,1.0,1220.0,865.0,642.0,6963.0,45780.0,Alameda,State Assembly 20,State Assembly,2012-09-07
65562.0,30704.0,11635.0,1293.0,1.0,301.0,260.0,152.0,2639.0,18577.0,Alameda,State Assembly 25,State Assembly,2012-09-07
756135.0,423781.0,113338.0,14458.0,10.0,9364.0,3174.0,2649.0,27952.0,161409.0,Alameda,State Board of Equalization 2,State Board of Equalization,2012-09-07
41981.0,22981.0,6408.0,896.0,1.0,544.0,202.0,127.0,1425.0,9397.0,Alameda,Alameda,City,2012-09-07
10097.0,6487.0,694.0,119.0,0.0,296.0,35.0,34.0,364.0,2068.0,Alameda,Albany,City,2012-09-07
73785.0,48349.0,3489.0,889.0,2.0,2380.0,341.0,369.0,3479.0,14487.0,Alameda,Berkeley,City,2012-09-07
21002.0,8906.0,5442.0,568.0,1.0,75.0,117.0,31.0,932.0,4930.0,Alameda,Dublin,City,2012-09-07
5474.0,3297.0,432.0,112.0,0.0,98.0,40.0,15.0,244.0,1236.0,Alameda,Emeryville,City,2012-09-07
94837.0,43527.0,17555.0,1875.0,1.0,462.0,372.0,207.0,3894.0,26944.0,Alameda,Fremont,City,2012-09-07
57226.0,33823.0,7820.0,1255.0,0.0,318.0,226.0,259.0,1931.0,11594.0,Alameda,Hayward,City,2012-09-07
46490.0,18397.0,15781.0,1331.0,0.0,208.0,258.0,74.0,1442.0,8999.0,Alameda,Livermore,City,2012-09-07
19197.0,10244.0,3353.0,423.0,0.0,85.0,87.0,52.0,607.0,4346.0,Alameda,Newark,City,2012-09-07
196067.0,130025.0,13137.0,2996.0,2.0,3768.0,677.0,1008.0,7460.0,36994.0,Alameda,Oakland,City,2012-09-07
8217.0,4591.0,1663.0,142.0,0.0,65.0,28.0,10.0,185.0,1533.0,Alameda,Piedmont,City,2012-09-07
40433.0,15448.0,13256.0,923.0,2.0,149.0,204.0,59.0,1608.0,8784.0,Alameda,Pleasanton,City,2012-09-07
40205.0,23421.0,5844.0,854.0,0.0,249.0,137.0,127.0,1182.0,8391.0,Alameda,San Leandro,City,2012-09-07
31174.0,16962.0,4304.0,530.0,0.0,142.0,85.0,98.0,1185.0,7868.0,Alameda,Union City,City,2012-09-07
69950.0,37323.0,14160.0,1545.0,1.0,525.0,365.0,179.0,2014.0,13838.0,Alameda,Unincorporated Area,City,2012-09-07
141.0,55.0,51.0,8.0,0.0,2.0,0.0,0.0,1.0,24.0,Alpine,County Supervisorial  1,County Supervisorial,2012-09-07
