Total_Registered,Democratic,Republican,American_Independent,Green,Libertarian,Peace_and_Freedom,Unknown,Other,No_Party_Preference,county,district,district_type,date
157701.0,68108.0,33025.0,3929.0,488.0,1064.0,315.0,196.0,1184.0,49392.0,Alameda,County Supervisorial 1,County Supervisorial,2018-05-21
147055.0,80387.0,17552.0,3003.0,596.0,705.0,502.0,200.0,999.0,43111.0,Alameda,County Supervisorial 2,County Supervisorial,2018-05-21
162338.0,96038.0,14893.0,3133.0,1296.0,793.0,602.0,280.0,1226.0,44077.0,Alameda,County Supervisorial 3,County Supervisorial,2018-05-21
180971.0,103264.0,25445.0,3603.0,1172.0,1022.0,528.0,257.0,1316.0,44364.0,Alameda,County Supervisorial 4,County Supervisorial,2018-05-21
206152.0,138814.0,8486.0,2979.0,3293.0,955.0,667.0,309.0,1493.0,49156.0,Alameda,County Supervisorial 5,County Supervisorial,2018-05-21
432586.0,281454.0,25212.0,7023.0,5216.0,1974.0,1524.0,708.0,3190.0,106285.0,Alameda,US Congressional 13,US Congressional,2018-05-21
336015.0,164889.0,61748.0,7952.0,1344.0,2144.0,897.0,417.0,2394.0,94230.0,Alameda,US Congressional 15,US Congressional,2018-05-21
85616.0,40268.0,12441.0,1672.0,285.0,421.0,193.0,117.0,634.0,29585.0,Alameda,US Congressional 17,US Congressional,2018-05-21
124286.0,49513.0,33980.0,3516.0,378.0,1021.0,197.0,141.0,934.0,34606.0,Alameda,State Senate 7,State Senate,2018-05-21
428576.0,279201.0,24785.0,6937.0,5192.0,1958.0,1505.0,702.0,3158.0,105138.0,Alameda,State Senate 9,State Senate,2018-05-21
301355.0,157897.0,40636.0,6194.0,1275.0,1560.0,912.0,399.0,2126.0,90356.0,Alameda,State Senate 10,State Senate,2018-05-21
166569.0,113147.0,7750.0,2275.0,2681.0,807.0,464.0,217.0,1089.0,38139.0,Alameda,State Assembly 15,State Assembly,2018-05-21
122791.0,49029.0,33440.0,3468.0,368.0,1010.0,194.0,140.0,916.0,34226.0,Alameda,State Assembly 16,State Assembly,2018-05-21
265337.0,167925.0,17407.0,4734.0,2528.0,1162.0,1057.0,491.0,2098.0,67935.0,Alameda,State Assembly 18,State Assembly,2018-05-21
228191.0,122914.0,30769.0,4771.0,1030.0,1221.0,741.0,292.0,1592.0,64861.0,Alameda,State Assembly 20,State Assembly,2018-05-21
71329.0,33596.0,10035.0,1399.0,238.0,339.0,158.0,102.0,523.0,24939.0,Alameda,State Assembly 25,State Assembly,2018-05-21
854217.0,486611.0,99401.0,16647.0,6845.0,4539.0,2614.0,1242.0,6218.0,230100.0,Alameda,State Board of Equalization 2,State Board of Equalization,2018-05-21
47125.0,26975.0,5525.0,969.0,396.0,310.0,109.0,78.0,328.0,12435.0,Alameda,Alameda,City,2018-05-21
11054.0,7430.0,554.0,126.0,186.0,41.0,16.0,8.0,62.0,2631.0,Alameda,Albany,City,2018-05-21
