Total_Registered,Democratic,Republican,American_Independent,Green,Libertarian,Peace_and_Freedom,Other,No_Party_Preference,county,district,district_type,date
153400.0,67538.0,35156.0,3725.0,466.0,887.0,253.0,1176.0,44199.0,Alameda,County Supervisorial  1,County Supervisorial,2016-07-07
144622.0,81255.0,18631.0,2839.0,539.0,649.0,455.0,1037.0,39217.0,Alameda,County Supervisorial  2,County Supervisorial,2016-07-07
161261.0,97512.0,16172.0,2963.0,1199.0,735.0,547.0,1174.0,40959.0,Alameda,County Supervisorial  3,County Supervisorial,2016-07-07
178649.0,103684.0,27421.0,3356.0,1049.0,868.0,462.0,1343.0,40466.0,Alameda,County Supervisorial  4,County Supervisorial,2016-07-07
208805.0,142193.0,9710.0,2768.0,3190.0,879.0,668.0,1489.0,47908.0,Alameda,County Supervisorial  5,County Supervisorial,2016-07-07
433102.0,286555.0,28039.0,6543.0,4928.0,1785.0,1424.0,3130.0,100698.0,Alameda,US Congressional 13,US Congressional,2016-07-07
330039.0,165362.0,65664.0,7504.0,1254.0,1878.0,791.0,2447.0,85139.0,Alameda,US Congressional 15,US Congressional,2016-07-07
83596.0,40265.0,13387.0,1604.0,261.0,355.0,170.0,642.0,26912.0,Alameda,US Congressional 17,US Congressional,2016-07-07
120802.0,48510.0,36030.0,3297.0,343.0,846.0,157.0,931.0,30688.0,Alameda,State Senate  7,State Senate,2016-07-07
429106.0,284206.0,27586.0,6476.0,4913.0,1771.0,1410.0,3103.0,99641.0,Alameda,State Senate  9,State Senate,2016-07-07
296829.0,159466.0,43474.0,5878.0,1187.0,1401.0,818.0,2185.0,82420.0,Alameda,State Senate 10,State Senate,2016-07-07
169134.0,115672.0,8872.0,2101.0,2640.0,750.0,459.0,1105.0,37535.0,Alameda,State Assembly 15,State Assembly,2016-07-07
119313.0,48017.0,35458.0,3250.0,331.0,842.0,156.0,917.0,30342.0,Alameda,State Assembly 16,State Assembly,2016-07-07
263326.0,170505.0,19119.0,4428.0,2284.0,1031.0,963.0,2023.0,62973.0,Alameda,State Assembly 18,State Assembly,2016-07-07
225561.0,124354.0,32932.0,4539.0,979.0,1105.0,671.0,1657.0,59324.0,Alameda,State Assembly 20,State Assembly,2016-07-07
69403.0,33634.0,10709.0,1333.0,209.0,290.0,136.0,517.0,22575.0,Alameda,State Assembly 25,State Assembly,2016-07-07
846737.0,492182.0,107090.0,15651.0,6443.0,4018.0,2385.0,6219.0,212749.0,Alameda,State Board of Equalization 2,State Board of Equalization,2016-07-07
46957.0,27168.0,6090.0,914.0,389.0,276.0,119.0,327.0,11674.0,Alameda,Alameda,City,2016-07-07
11161.0,7510.0,638.0,126.0,184.0,43.0,18.0,62.0,2580.0,Alameda,Albany,City,2016-07-07
80273.0,55789.0,2830.0,877.0,1402.0,362.0,263.0,508.0,18242.0,Alameda,Berkeley,City,2016-07-07
24963.0,10949.0,5567.0,636.0,60.0,180.0,40.0,194.0,7337.0,Alameda,Dublin,City,2016-07-07
6491.0,4183.0,410.0,124.0,68.0,45.0,12.0,57.0,1592.0,Alameda,Emeryville,City,2016-07-07
99227.0,47186.0,15928.0,1937.0,325.0,436.0,198.0,753.0,32464.0,Alameda,Fremont,City,2016-07-07
66215.0,39678.0,7531.0,1317.0,262.0,313.0,248.0,477.0,16389.0,Alameda,Hayward,City,2016-07-07
50025.0,19892.0,16258.0,1537.0,153.0,371.0,67.0,379.0,11368.0,Alameda,Livermore,City,2016-07-07
20680.0,11309.0,3202.0,449.0,71.0,105.0,54.0,144.0,5346.0,Alameda,Newark,City,2016-07-07
234768.0,160327.0,11218.0,3448.0,2635.0,854.0,879.0,1818.0,53589.0,Alameda,Oakland,City,2016-07-07
8491.0,5014.0,1426.0,132.0,45.0,28.0,9.0,46.0,1791.0,Alameda,Piedmont,City,2016-07-07
42701.0,16697.0,12826.0,1022.0,109.0,275.0,48.0,334.0,11390.0,Alameda,Pleasanton,City,2016-07-07
44300.0,26178.0,5374.0,907.0,201.0,172.0,122.0,310.0,11036.0,Alameda,San Leandro,City,2016-07-07
34464.0,18980.0,4232.0,608.0,116.0,111.0,99.0,248.0,10070.0,Alameda,Union City,City,2016-07-07
76021.0,41322.0,13560.0,1617.0,423.0,447.0,209.0,562.0,17881.0,Alameda,Unincorporated Area,City,2016-07-07
140.0,56.0,50.0,8.0,2.0,0.0,0.0,0.0,24.0,Alpine,County Supervisorial  1,County Supervisorial,2016-07-07
154.0,64.0,42.0,3.0,2.0,0.0,0.0,2.0,41.0,Alpine,County Supervisorial  2,County Supervisorial,2016-07-07
99.0,47.0,15.0,6.0,0.0,2.0,1.0,1.0,27.0,Alpine,County Supervisorial  3,County Supervisorial,2016-07-07
157.0,61.0,48.0,4.0,2.0,2.0,0.0,0.0,40.0,Alpine,County Supervisorial  4,County Supervisorial,2016-07-07
174.0,50.0,66.0,7.0,2.0,1.0,0.0,0.0,48.0,Alpine,County Supervisorial  5,County Supervisorial,2016-07-07
