Total_Registered,Democratic,Republican,American_Independent,Americans_Elect,Green,Libertarian,Peace_and_Freedom,Other,No_Party_Preference,county,district,district_type,date
140492.0,60877.0,35687,3401.0,0.0,646.0,655.0,259.0,3922.0,35045.0,Alameda,County Supervisorial 1,County Supervisorial,2012-04-06
128335.0,71060.0,19539,2602.0,0.0,658.0,467.0,455.0,3310.0,30244.0,Alameda,County Supervisorial 2,County Supervisorial,2012-04-06
138661.0,81381.0,17613,2752.0,1.0,1584.0,551.0,585.0,3513.0,30681.0,Alameda,County Supervisorial 3,County Supervisorial,2012-04-06
158819.0,90943.0,29256,3045.0,1.0,1390.0,656.0,479.0,3659.0,29390.0,Alameda,County Supervisorial 4,County Supervisorial,2012-04-06
177706.0,115147.0,11570,2484.0,1.0,5021.0,757.0,888.0,5639.0,36199.0,Alameda,County Supervisorial 5,County Supervisorial,2012-04-06
368828.0,235932.0,32055,5933.0,2.0,7340.0,1432.0,1712.0,10222.0,74200.0,Alameda,US Congressional 13,US Congressional,2012-04-06
296927.0,146813.0,66876,6780.0,1.0,1593.0,1335.0,787.0,7552.0,65190.0,Alameda,US Congressional 15,US Congressional,2012-04-06
78258.0,36663.0,14734,1571.0,0.0,366.0,319.0,167.0,2269.0,22169.0,Alameda,US Congressional 17,US Congressional,2012-04-06
109173.0,43335.0,35586,2873.0,0.0,442.0,569.0,166.0,2937.0,23265.0,Alameda,State Senate 7,State Senate,2012-04-06
365187.0,233735.0,31577,5872.0,2.0,7324.0,1417.0,1698.0,10125.0,73437.0,Alameda,State Senate 9,State Senate,2012-04-06
269653.0,142338.0,46502,5539.0,1.0,1533.0,1100.0,802.0,6981.0,64857.0,Alameda,State Senate 10,State Senate,2012-04-06
149616.0,97280.0,10499,1982.0,1.0,4317.0,670.0,648.0,4441.0,29778.0,Alameda,State Assembly 15,State Assembly,2012-04-06
107723.0,42858.0,35005,2845.0,0.0,426.0,563.0,165.0,2903.0,22958.0,Alameda,State Assembly 16,State Assembly,2012-04-06
218616.0,138301.0,21492,3936.0,1.0,3020.0,759.0,1060.0,5764.0,44283.0,Alameda,State Assembly 18,State Assembly,2012-04-06
203263.0,110364.0,34967,4222.0,1.0,1238.0,833.0,647.0,5056.0,45935.0,Alameda,State Assembly 20,State Assembly,2012-04-06
64795.0,30605.0,11702,1299.0,0.0,298.0,261.0,146.0,1879.0,18605.0,Alameda,State Assembly 25,State Assembly,2012-04-06
744013.0,419408.0,113665,14284.0,3.0,9299.0,3086.0,2666.0,20043.0,161559.0,Alameda,State Board of Equalization 2,State Board of Equalization,2012-04-06
41392.0,22725.0,6424,895.0,1.0,538.0,199.0,130.0,1021.0,9459.0,Alameda,Alameda,City,2012-04-06
9837.0,6367.0,712,121.0,0.0,294.0,31.0,33.0,245.0,2034.0,Alameda,Albany,City,2012-04-06
72590.0,47956.0,3484,880.0,1.0,2386.0,337.0,369.0,2446.0,14731.0,Alameda,Berkeley,City,2012-04-06
20569.0,8805.0,5402,557.0,0.0,74.0,110.0,28.0,676.0,4917.0,Alameda,Dublin,City,2012-04-06
5299.0,3198.0,436,104.0,0.0,100.0,35.0,15.0,163.0,1248.0,Alameda,Emeryville,City,2012-04-06
93919.0,43496.0,17655,1890.0,0.0,466.0,367.0,205.0,2754.0,27086.0,Alameda,Fremont,City,2012-04-06
56545.0,33652.0,7879,1236.0,0.0,312.0,217.0,254.0,1370.0,11625.0,Alameda,Hayward,City,2012-04-06
