Total_Registered,Democratic,Republican,American_Independent,Green,Libertarian,Peace_and_Freedom,Other,No_Party_Preference,county,district,district_type,date
49147.0,16060.0,20733.0,1537.0,901.0,375.0,105.0,144.0,9292.0,Nevada,State Senate 4,State Senate,2011-02-10
60111.0,20205.0,24030.0,1943.0,1099.0,495.0,127.0,161.0,12051.0,Nevada,State Assembly 3,State Assembly,2011-02-10
60111.0,20205.0,24030.0,1943.0,1099.0,495.0,127.0,161.0,12051.0,Nevada,State Board of Equalization 2,State Board of Equalization,2011-02-10
6161.0,2303.0,2194.0,211.0,87.0,44.0,13.0,15.0,1294.0,Nevada,Grass Valley,City,2011-02-10
1959.0,881.0,480.0,60.0,88.0,16.0,5.0,5.0,424.0,Nevada,Nevada City,City,2011-02-10
8084.0,3205.0,2188.0,305.0,141.0,88.0,13.0,10.0,2134.0,Nevada,Truckee,City,2011-02-10
43907.0,13816.0,19168.0,1367.0,783.0,347.0,96.0,131.0,8199.0,Nevada,Unincorporated Area,City,2011-02-10
229314.0,98164.0,76738.0,4483.0,793.0,1306.0,1035.0,919.0,45876.0,Orange,County Supervisorial 1,County Supervisorial,2011-02-10
378406.0,110160.0,172367.0,9909.0,2145.0,3135.0,1017.0,1769.0,77904.0,Orange,County Supervisorial 2,County Supervisorial,2011-02-10
362429.0,104594.0,163019.0,8289.0,1602.0,2507.0,817.0,1249.0,80352.0,Orange,County Supervisorial 3,County Supervisorial,2011-02-10
273040.0,102545.0,104222.0,6508.0,1217.0,1779.0,1059.0,1125.0,54585.0,Orange,County Supervisorial 4,County Supervisorial,2011-02-10
379346.0,101658.0,181610.0,10361.0,1798.0,2680.0,702.0,1353.0,79184.0,Orange,County Supervisorial 5,County Supervisorial,2011-02-10
346468.0,115532.0,146666.0,8426.0,1551.0,2411.0,1194.0,1494.0,69194.0,Orange,US Congressional 40,US Congressional,2011-02-10
235312.0,63456.0,117356.0,5772.0,898.0,1421.0,484.0,807.0,45118.0,Orange,US Congressional 42,US Congressional,2011-02-10
78870.0,17987.0,41272.0,2191.0,363.0,606.0,125.0,291.0,16035.0,Orange,US Congressional 44,US Congressional,2011-02-10
294651.0,87393.0,129288.0,7880.0,1753.0,2524.0,909.0,1456.0,63448.0,Orange,US Congressional 46,US Congressional,2011-02-10
224682.0,104975.0,68758.0,4248.0,815.0,1227.0,985.0,831.0,42843.0,Orange,US Congressional 47,US Congressional,2011-02-10
442552.0,127778.0,194616.0,11033.0,2175.0,3218.0,933.0,1536.0,101263.0,Orange,US Congressional 48,US Congressional,2011-02-10
136050.0,39006.0,66613.0,3233.0,515.0,819.0,343.0,503.0,25018.0,Orange,State Senate 29,State Senate,2011-02-10
546715.0,154851.0,255710.0,13492.0,2390.0,3849.0,1182.0,1916.0,113325.0,Orange,State Senate 33,State Senate,2011-02-10
320971.0,142454.0,103099.0,6662.0,1159.0,1780.0,1447.0,1355.0,63015.0,Orange,State Senate 34,State Senate,2011-02-10
560377.0,166397.0,243449.0,14385.0,3156.0,4452.0,1518.0,2366.0,124654.0,Orange,State Senate 35,State Senate,2011-02-10
58422.0,14413.0,29085.0,1778.0,335.0,507.0,140.0,275.0,11889.0,Orange,State Senate 38,State Senate,2011-02-10
38773.0,15351.0,13700.0,960.0,141.0,228.0,162.0,162.0,8069.0,Orange,State Assembly 56,State Assembly,2011-02-10
107199.0,28911.0,54487.0,2523.0,395.0,644.0,235.0,366.0,19638.0,Orange,State Assembly 60,State Assembly,2011-02-10
262389.0,82420.0,114195.0,6794.0,1382.0,2000.0,799.0,1228.0,53571.0,Orange,State Assembly 67,State Assembly,2011-02-10
220216.0,70944.0,89753.0,5642.0,1087.0,1646.0,882.0,1108.0,49154.0,Orange,State Assembly 68,State Assembly,2011-02-10
137023.0,69626.0,38214.0,2230.0,502.0,772.0,576.0,456.0,24647.0,Orange,State Assembly 69,State Assembly,2011-02-10
297147.0,88104.0,126366.0,7220.0,1449.0,2137.0,624.0,948.0,70299.0,Orange,State Assembly 70,State Assembly,2011-02-10
179444.0,45758.0,90446.0,4293.0,696.0,1214.0,308.0,582.0,36147.0,Orange,State Assembly 71,State Assembly,2011-02-10
224314.0,75703.0,95690.0,5339.0,1054.0,1545.0,711.0,906.0,43366.0,Orange,State Assembly 72,State Assembly,2011-02-10
156030.0,40304.0,75105.0,4549.0,849.0,1221.0,333.0,659.0,33010.0,Orange,State Assembly 73,State Assembly,2011-02-10
