Total_Registered,Democratic,Republican,American_Independent,Green,Libertarian,Peace_and_Freedom,Other,No_Party_Preference,county,district,district_type,date
151815.0,66823.0,34565.0,3647.0,485.0,915.0,246.0,1150.0,43984.0,Alameda,County Supervisorial 1,County Supervisorial,2016-09-09
142968.0,80291.0,18328.0,2841.0,549.0,626.0,440.0,1004.0,38889.0,Alameda,County Supervisorial 2,County Supervisorial,2016-09-09
159134.0,96173.0,15865.0,2905.0,1237.0,729.0,541.0,1130.0,40554.0,Alameda,County Supervisorial 3,County Supervisorial,2016-09-09
176286.0,102414.0,26873.0,3302.0,1076.0,869.0,452.0,1293.0,40007.0,Alameda,County Supervisorial 4,County Supervisorial,2016-09-09
202822.0,138519.0,9291.0,2632.0,3256.0,833.0,645.0,1435.0,46211.0,Alameda,County Supervisorial 5,County Supervisorial,2016-09-09
424162.0,280987.0,27221.0,6330.0,5038.0,1729.0,1394.0,3013.0,98450.0,Alameda,US Congressional 13,US Congressional,2016-09-09
326012.0,163375.0,64506.0,7415.0,1292.0,1873.0,766.0,2376.0,84409.0,Alameda,US Congressional 15,US Congressional,2016-09-09
82851.0,39858.0,13195.0,1582.0,273.0,370.0,164.0,623.0,26786.0,Alameda,US Congressional 17,US Congressional,2016-09-09
119435.0,48070.0,35365.0,3229.0,362.0,868.0,155.0,910.0,30476.0,Alameda,State Senate 7,State Senate,2016-09-09
420269.0,278702.0,26779.0,6262.0,5021.0,1715.0,1378.0,2988.0,97424.0,Alameda,State Senate 9,State Senate,2016-09-09
293321.0,157448.0,42778.0,5836.0,1220.0,1389.0,791.0,2114.0,81745.0,Alameda,State Senate 10,State Senate,2016-09-09
164105.0,112689.0,8480.0,1982.0,2672.0,701.0,438.0,1054.0,36089.0,Alameda,State Assembly 15,State Assembly,2016-09-09
117965.0,47581.0,34799.0,3183.0,350.0,864.0,154.0,896.0,30138.0,Alameda,State Assembly 16,State Assembly,2016-09-09
259427.0,167925.0,18693.0,4336.0,2360.0,1024.0,954.0,1958.0,62177.0,Alameda,State Assembly 18,State Assembly,2016-09-09
222685.0,122714.0,32365.0,4514.0,998.0,1080.0,645.0,1602.0,58767.0,Alameda,State Assembly 20,State Assembly,2016-09-09
68843.0,33311.0,10585.0,1312.0,223.0,303.0,133.0,502.0,22474.0,Alameda,State Assembly 25,State Assembly,2016-09-09
833025.0,484220.0,104922.0,15327.0,6603.0,3972.0,2324.0,6012.0,209645.0,Alameda,State Board of Equalization 2,State Board of Equalization,2016-09-09
46367.0,26862.0,5968.0,890.0,400.0,271.0,113.0,312.0,11551.0,Alameda,Alameda,City,2016-09-09
10939.0,7383.0,614.0,121.0,186.0,40.0,15.0,59.0,2521.0,Alameda,Albany,City,2016-09-09
76961.0,53815.0,2650.0,815.0,1438.0,319.0,255.0,475.0,17194.0,Alameda,Berkeley,City,2016-09-09
24821.0,10918.0,5424.0,626.0,66.0,174.0,38.0,193.0,7382.0,Alameda,Dublin,City,2016-09-09
6309.0,4067.0,387.0,118.0,65.0,42.0,12.0,55.0,1563.0,Alameda,Emeryville,City,2016-09-09
98139.0,46628.0,15651.0,1894.0,328.0,444.0,190.0,734.0,32270.0,Alameda,Fremont,City,2016-09-09
65240.0,39061.0,7392.0,1314.0,267.0,296.0,240.0,455.0,16215.0,Alameda,Hayward,City,2016-09-09
49440.0,19655.0,16037.0,1509.0,162.0,391.0,67.0,372.0,11247.0,Alameda,Livermore,City,2016-09-09
20547.0,11235.0,3170.0,456.0,74.0,106.0,51.0,138.0,5317.0,Alameda,Newark,City,2016-09-09
230810.0,157690.0,10892.0,3361.0,2696.0,860.0,863.0,1759.0,52689.0,Alameda,Oakland,City,2016-09-09
8420.0,4984.0,1386.0,132.0,44.0,27.0,8.0,49.0,1790.0,Alameda,Piedmont,City,2016-09-09
42104.0,16539.0,12539.0,993.0,112.0,282.0,48.0,321.0,11270.0,Alameda,Pleasanton,City,2016-09-09
43708.0,25805.0,5271.0,880.0,203.0,166.0,126.0,303.0,10954.0,Alameda,San Leandro,City,2016-09-09
34177.0,18829.0,4159.0,610.0,118.0,109.0,98.0,243.0,10011.0,Alameda,Union City,City,2016-09-09
75043.0,40749.0,13382.0,1608.0,444.0,445.0,200.0,544.0,17671.0,Alameda,Unincorporated Area,City,2016-09-09
137.0,50.0,51.0,7.0,4.0,0.0,0.0,0.0,25.0,Alpine,County Supervisorial 1,County Supervisorial,2016-09-09
153.0,62.0,43.0,3.0,2.0,0.0,0.0,2.0,41.0,Alpine,County Supervisorial 2,County Supervisorial,2016-09-09
100.0,48.0,15.0,6.0,0.0,2.0,1.0,1.0,27.0,Alpine,County Supervisorial 3,County Supervisorial,2016-09-09
158.0,63.0,47.0,4.0,2.0,2.0,0.0,0.0,40.0,Alpine,County Supervisorial 4,County Supervisorial,2016-09-09
173.0,51.0,65.0,7.0,2.0,1.0,0.0,0.0,47.0,Alpine,County Supervisorial 5,County Supervisorial,2016-09-09
721.0,274.0,221.0,27.0,10.0,5.0,1.0,3.0,180.0,Alpine,US Congressional 4,US Congressional,2016-09-09
721.0,274.0,221.0,27.0,10.0,5.0,1.0,3.0,180.0,Alpine,State Senate 1,State Senate,2016-09-09
721.0,274.0,221.0,27.0,10.0,5.0,1.0,3.0,180.0,Alpine,State Assembly 5,State Assembly,2016-09-09
721.0,274.0,221.0,27.0,10.0,5.0,1.0,3.0,180.0,Alpine,State Board of Equalization 1,State Board of Equalization,2016-09-09
721.0,274.0,221.0,27.0,10.0,5.0,1.0,3.0,180.0,Alpine,Unincorporated Area,City,2016-09-09
4016.0,1298.0,1759.0,169.0,19.0,45.0,13.0,4.0,709.0,Amador,County Supervisorial 1,County Supervisorial,2016-09-09
4758.0,1288.0,2362.0,201.0,18.0,52.0,17.0,12.0,808.0,Amador,County Supervisorial 2,County Supervisorial,2016-09-09
3927.0,1276.0,1734.0,156.0,29.0,31.0,9.0,11.0,681.0,Amador,County Supervisorial 3,County Supervisorial,2016-09-09
4218.0,1299.0,1971.0,171.0,14.0,49.0,6.0,4.0,704.0,Amador,County Supervisorial 4,County Supervisorial,2016-09-09
4342.0,1384.0,1960.0,163.0,31.0,56.0,7.0,12.0,729.0,Amador,County Supervisorial 5,County Supervisorial,2016-09-09
21261.0,6545.0,9786.0,860.0,111.0,233.0,52.0,43.0,3631.0,Amador,US Congressional 4,US Congressional,2016-09-09
21261.0,6545.0,9786.0,860.0,111.0,233.0,52.0,43.0,3631.0,Amador,State Senate 8,State Senate,2016-09-09
21261.0,6545.0,9786.0,860.0,111.0,233.0,52.0,43.0,3631.0,Amador,State Assembly 5,State Assembly,2016-09-09
21261.0,6545.0,9786.0,860.0,111.0,233.0,52.0,43.0,3631.0,Amador,State Board of Equalization 1,State Board of Equalization,2016-09-09
135.0,59.0,45.0,5.0,0.0,1.0,0.0,0.0,25.0,Amador,Amador,City,2016-09-09
2347.0,634.0,1165.0,98.0,10.0,28.0,7.0,5.0,400.0,Amador,Ione,City,2016-09-09
2577.0,890.0,1029.0,124.0,15.0,32.0,8.0,3.0,476.0,Amador,Jackson,City,2016-09-09
485.0,152.0,201.0,19.0,4.0,9.0,2.0,1.0,97.0,Amador,Plymouth,City,2016-09-09
1642.0,557.0,711.0,70.0,7.0,26.0,3.0,0.0,268.0,Amador,Sutter Creek,City,2016-09-09
14075.0,4253.0,6635.0,544.0,75.0,137.0,32.0,34.0,2365.0,Amador,Unincorporated Area,City,2016-09-09
23236.0,6774.0,8963.0,993.0,145.0,232.0,124.0,284.0,5721.0,Butte,County Supervisorial 1,County Supervisorial,2016-09-09
23793.0,9453.0,7568.0,640.0,235.0,227.0,69.0,226.0,5375.0,Butte,County Supervisorial 2,County Supervisorial,2016-09-09
25782.0,10669.0,8222.0,671.0,264.0,263.0,74.0,272.0,5347.0,Butte,County Supervisorial 3,County Supervisorial,2016-09-09
21449.0,7403.0,7994.0,700.0,177.0,203.0,85.0,208.0,4679.0,Butte,County Supervisorial 4,County Supervisorial,2016-09-09
28173.0,8855.0,11398.0,1087.0,215.0,283.0,112.0,398.0,5825.0,Butte,County Supervisorial 5,County Supervisorial,2016-09-09
122433.0,43154.0,44145.0,4091.0,1036.0,1208.0,464.0,1388.0,26947.0,Butte,US Congressional 1,US Congressional,2016-09-09
122433.0,43154.0,44145.0,4091.0,1036.0,1208.0,464.0,1388.0,26947.0,Butte,State Senate 4,State Senate,2016-09-09
12328.0,3845.0,4772.0,492.0,109.0,138.0,58.0,155.0,2759.0,Butte,State Assembly 1,State Assembly,2016-09-09
110105.0,39309.0,39373.0,3599.0,927.0,1070.0,406.0,1233.0,24188.0,Butte,State Assembly 3,State Assembly,2016-09-09
122433.0,43154.0,44145.0,4091.0,1036.0,1208.0,464.0,1388.0,26947.0,Butte,State Board of Equalization 1,State Board of Equalization,2016-09-09
757.0,269.0,300.0,21.0,4.0,3.0,3.0,5.0,152.0,Butte,Biggs,City,2016-09-09
46309.0,19838.0,13184.0,1243.0,487.0,461.0,142.0,472.0,10482.0,Butte,Chico,City,2016-09-09
2749.0,1014.0,961.0,95.0,14.0,21.0,12.0,32.0,600.0,Butte,Gridley,City,2016-09-09
7895.0,2537.0,2581.0,359.0,49.0,82.0,55.0,84.0,2148.0,Butte,Oroville,City,2016-09-09
16749.0,5207.0,6759.0,626.0,132.0,155.0,74.0,270.0,3526.0,Butte,Paradise,City,2016-09-09
47974.0,14289.0,20360.0,1747.0,350.0,486.0,178.0,525.0,10039.0,Butte,Unincorporated Area,City,2016-09-09
5430.0,1446.0,2598.0,236.0,22.0,60.0,10.0,42.0,1016.0,Calaveras,County Supervisorial 1,County Supervisorial,2016-09-09
5119.0,1688.0,1930.0,261.0,61.0,83.0,25.0,41.0,1030.0,Calaveras,County Supervisorial 2,County Supervisorial,2016-09-09
5921.0,2111.0,2312.0,217.0,52.0,67.0,19.0,47.0,1096.0,Calaveras,County Supervisorial 3,County Supervisorial,2016-09-09
6133.0,1750.0,2696.0,281.0,30.0,102.0,18.0,49.0,1207.0,Calaveras,County Supervisorial 4,County Supervisorial,2016-09-09
5356.0,1383.0,2541.0,235.0,16.0,77.0,16.0,48.0,1040.0,Calaveras,County Supervisorial 5,County Supervisorial,2016-09-09
27959.0,8378.0,12077.0,1230.0,181.0,389.0,88.0,227.0,5389.0,Calaveras,US Congressional 4,US Congressional,2016-09-09
27959.0,8378.0,12077.0,1230.0,181.0,389.0,88.0,227.0,5389.0,Calaveras,State Senate 8,State Senate,2016-09-09
27959.0,8378.0,12077.0,1230.0,181.0,389.0,88.0,227.0,5389.0,Calaveras,State Assembly 5,State Assembly,2016-09-09
27959.0,8378.0,12077.0,1230.0,181.0,389.0,88.0,227.0,5389.0,Calaveras,State Board of Equalization 1,State Board of Equalization,2016-09-09
2292.0,693.0,980.0,95.0,11.0,43.0,10.0,16.0,444.0,Calaveras,Angels,City,2016-09-09
25667.0,7685.0,11097.0,1135.0,170.0,346.0,78.0,211.0,4945.0,Calaveras,Unincorporated Area,City,2016-09-09
1756.0,613.0,748.0,40.0,2.0,12.0,2.0,0.0,339.0,Colusa,County Supervisorial 1,County Supervisorial,2016-09-09
1793.0,600.0,762.0,44.0,5.0,13.0,4.0,1.0,364.0,Colusa,County Supervisorial 2,County Supervisorial,2016-09-09
1356.0,502.0,488.0,22.0,3.0,9.0,3.0,2.0,327.0,Colusa,County Supervisorial 3,County Supervisorial,2016-09-09
1383.0,459.0,593.0,34.0,4.0,5.0,0.0,2.0,286.0,Colusa,County Supervisorial 4,County Supervisorial,2016-09-09
